id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
1211,"English, Nelson and Wong","532 Lydia Divide Apt. 178
Theresachester, AR 18472",Onlus,809-74-4454,"[{""year"": 2017, ""revenue"": 556661.9, ""profit"": 69676.09}, {""year"": 2019, ""revenue"": 154662.52, ""profit"": 195912.59}, {""year"": 2015, ""revenue"": 978237.12, ""profit"": 243655.91}, {""year"": 2018, ""revenue"": 738788.45, ""profit"": 109773.15}, {""year"": 2016, ""revenue"": 70644.01, ""profit"": 330625.63}]",[56],"[72, 11, 57, 1, 42, 5, 98, 58]",[967],"[14298, 9882, 14105]","[2551, 2666]"
1212,Wagner Group,"130 Vargas Greens Suite 313
Lake Kellyside, AS 03903",S.a.S.,466-85-8288,"[{""year"": 2019, ""revenue"": 868204.76, ""profit"": 183354.27}, {""year"": 2017, ""revenue"": 421759.55, ""profit"": 458173.69}, {""year"": 2022, ""revenue"": 518110.61, ""profit"": 296688.34}, {""year"": 2020, ""revenue"": 681519.9, ""profit"": 343529.82}, {""year"": 2018, ""revenue"": 772127.44, ""profit"": 145256.36}]",[10],"[67, 25, 69, 98, 56, 45]","[811, 600, 194]","[13749, 10498, 4783, 1154, 16785]","[59, 4187, 3416]"
1213,Douglas-James,"88555 Jackson Plaza
Haleyside, GA 19509",Cooperative,005-66-1509,"[{""year"": 2015, ""revenue"": 342054.04, ""profit"": 426200.32}]","[44, 76, 11]",[75],"[903, 16]",[11484],[2737]
1214,Johnson-Hawkins,"98795 Anna Path Apt. 029
East Annettechester, MS 01253",S.p.A.,046-08-6197,"[{""year"": 2021, ""revenue"": 611022.34, ""profit"": 301129.92}]","[100, 81]","[50, 71, 59, 94, 81, 69, 88, 98, 73, 21]",[361],"[3974, 1107, 9198]","[705, 3480, 4347]"
1215,Wright-Smith,"8559 Scott Fords
Donburgh, WY 78484",Onlus,567-04-0529,"[{""year"": 2023, ""revenue"": 255292.61, ""profit"": 91571.15}]","[68, 59, 38]","[95, 36, 57]",[810],"[13775, 5741, 11289, 7204, 803]",[4469]
1216,Brown LLC,"93216 Murphy Haven
Kylefurt, MN 98730",S.a.S.,302-16-6896,"[{""year"": 2019, ""revenue"": 310077.23, ""profit"": 122802.04}, {""year"": 2023, ""revenue"": 673074.65, ""profit"": 339235.08}]",[54],"[15, 88, 32, 48, 63, 52, 96, 61, 54]","[951, 848]","[8053, 7744, 2360, 5830, 10573]",[2996]
1217,"Smith, Kennedy and Novak","325 Nichols Walks Apt. 595
Blevinsshire, FL 25386",S.r.l. a socio unico,681-34-5118,"[{""year"": 2022, ""revenue"": 655769.02, ""profit"": 407018.72}, {""year"": 2016, ""revenue"": 956186.97, ""profit"": 300372.59}, {""year"": 2020, ""revenue"": 856920.69, ""profit"": 198093.66}, {""year"": 2019, ""revenue"": 225674.86, ""profit"": 26937.54}, {""year"": 2017, ""revenue"": 655739.85, ""profit"": 372069.21}]",[33],"[87, 100, 86, 84, 69, 62, 7, 63, 74]","[119, 160, 446]","[9121, 13870, 8284, 8656]","[231, 4323]"
1218,Bauer PLC,"77282 Tracy Haven Suite 209
Cooketown, HI 63677",S.p.A.,735-97-7666,"[{""year"": 2022, ""revenue"": 660554.0, ""profit"": 332087.87}, {""year"": 2023, ""revenue"": 417435.75, ""profit"": 278945.48}, {""year"": 2019, ""revenue"": 77918.71, ""profit"": 21431.73}, {""year"": 2015, ""revenue"": 651462.05, ""profit"": 493762.9}, {""year"": 2023, ""revenue"": 688390.04, ""profit"": 88891.9}]","[52, 28]","[41, 17, 35, 37]",[599],"[16151, 9635]","[1240, 1050]"
1219,Hernandez-Brooks,"19293 Amy View
Briannaville, IA 38305",S.a.S.,228-82-7329,"[{""year"": 2018, ""revenue"": 261745.77, ""profit"": 471788.35}, {""year"": 2022, ""revenue"": 974415.43, ""profit"": 458463.19}]","[16, 57]","[46, 55, 44, 59, 87, 77, 54, 85, 64]",[420],"[8588, 10673, 14253, 3881]",[2212]
1220,"Baker, Johnson and Knox","73452 Sandra Parkways Apt. 467
Lake Lauraton, NC 82623",S.p.A.,370-45-6237,"[{""year"": 2019, ""revenue"": 478733.37, ""profit"": 193088.85}, {""year"": 2020, ""revenue"": 992003.21, ""profit"": 349743.56}, {""year"": 2021, ""revenue"": 406657.24, ""profit"": 179575.8}]","[62, 39, 1]","[78, 58, 55, 9, 86, 45]",[430],"[19171, 12465]","[1257, 2026]"
1221,Wong-Lindsey,"90256 Daniel Green
Hartview, FL 43291",Onlus,454-75-8657,"[{""year"": 2021, ""revenue"": 598991.46, ""profit"": 177537.65}, {""year"": 2016, ""revenue"": 703714.23, ""profit"": 91661.18}, {""year"": 2021, ""revenue"": 566834.43, ""profit"": 346259.48}]",[98],[12],[162],"[1946, 2429, 16332, 9400]","[3467, 4966]"
1222,"Barnett, Lopez and Freeman","1958 Watts Loop
Samanthaton, DC 66129",Onlus,538-55-1651,"[{""year"": 2023, ""revenue"": 881817.1, ""profit"": 361038.61}, {""year"": 2022, ""revenue"": 162108.64, ""profit"": 492225.43}, {""year"": 2018, ""revenue"": 787544.63, ""profit"": 237255.41}]","[23, 82]","[60, 31, 20, 4, 21, 2, 74, 9, 80, 69]",[499],"[10257, 3408, 2283, 16503]","[1278, 1700, 524]"
1223,Smith Inc,"34182 Claire Well
Danieltown, RI 79853",S.n.C.,665-12-8097,"[{""year"": 2015, ""revenue"": 663908.08, ""profit"": 241497.08}, {""year"": 2021, ""revenue"": 300121.79, ""profit"": 189302.62}, {""year"": 2017, ""revenue"": 828926.49, ""profit"": 363874.16}, {""year"": 2021, ""revenue"": 625883.52, ""profit"": 274669.65}]",[16],"[79, 17, 62, 91, 15, 86, 34]","[673, 50]","[8625, 2095, 614]","[2189, 1747, 813]"
1224,Beasley-King,"83716 Jennifer Lane
Antoniostad, DE 72700",S.r.l. a socio unico,027-08-6035,"[{""year"": 2019, ""revenue"": 990921.12, ""profit"": 118150.31}]","[95, 37, 52]","[52, 47, 6, 88, 2, 56, 7, 45, 71]","[311, 962, 866]",[8656],"[398, 4472, 1048]"
1225,Garrett-Jones,"USCGC Singleton
FPO AA 93912",S.a.S.,590-56-9667,"[{""year"": 2023, ""revenue"": 424186.52, ""profit"": 480648.68}, {""year"": 2017, ""revenue"": 443496.23, ""profit"": 82461.59}, {""year"": 2015, ""revenue"": 460897.94, ""profit"": 258157.04}, {""year"": 2015, ""revenue"": 627294.65, ""profit"": 27775.22}]",[86],"[69, 23, 1, 71, 68, 85, 18, 4, 64]",[503],"[9745, 9572, 545, 16548, 10102]",[3075]
1226,Davis PLC,"30693 Susan Station
South Seanfurt, AR 77856",Cooperative,437-65-4282,"[{""year"": 2019, ""revenue"": 646596.07, ""profit"": 420927.52}, {""year"": 2018, ""revenue"": 974585.83, ""profit"": 262097.34}]","[3, 51, 47]","[93, 46, 10]","[40, 301, 299]",[16057],"[1212, 411]"
1227,Davis-Cardenas,"188 Campos Valleys Apt. 352
East Ericabury, MN 86316",S.n.C.,506-14-7693,"[{""year"": 2018, ""revenue"": 220744.15, ""profit"": 156384.48}, {""year"": 2017, ""revenue"": 116088.04, ""profit"": 46157.06}]","[6, 88, 84]","[69, 96, 75]",[311],"[17118, 16522, 19934]","[2477, 996, 1602]"
1228,"Butler, Smith and Moreno","28481 Mccall Lakes Suite 293
Davisport, DC 44729",Cooperative,873-97-7265,"[{""year"": 2015, ""revenue"": 511387.2, ""profit"": 115840.58}]","[98, 71, 83]","[10, 86]","[886, 692]","[17739, 5716, 2964, 15546, 8277]","[3076, 3813, 3341]"
1229,Johnson LLC,"PSC 7350, Box 7406
APO AA 05888",S.a.S.,710-22-1349,"[{""year"": 2015, ""revenue"": 652361.73, ""profit"": 46672.57}, {""year"": 2019, ""revenue"": 362667.26, ""profit"": 150410.19}, {""year"": 2023, ""revenue"": 57855.91, ""profit"": 250210.74}, {""year"": 2019, ""revenue"": 736380.04, ""profit"": 312419.42}, {""year"": 2017, ""revenue"": 626476.55, ""profit"": 434961.65}]","[2, 31]",[68],[535],"[18125, 9521, 7930, 4651]","[4196, 3897]"
1230,"Salazar, Williams and Singh","53797 Kayla Knoll Suite 634
Mendozafort, CO 05601",S.a.S.,004-67-3641,"[{""year"": 2022, ""revenue"": 559698.16, ""profit"": 311658.01}, {""year"": 2015, ""revenue"": 655843.66, ""profit"": 435689.29}, {""year"": 2022, ""revenue"": 389955.1, ""profit"": 318667.48}, {""year"": 2023, ""revenue"": 322124.69, ""profit"": 166874.99}, {""year"": 2021, ""revenue"": 959770.49, ""profit"": 198643.67}]","[38, 83, 76]","[75, 83, 78, 87, 10, 73, 19, 45, 63, 6]","[838, 282]","[15081, 17270, 12528, 5426]",[4786]
1231,Gonzalez and Sons,"90608 Kelsey Rapid Apt. 574
South Johnburgh, ID 78533",Cooperative,198-12-0292,"[{""year"": 2023, ""revenue"": 873053.29, ""profit"": 294544.55}, {""year"": 2020, ""revenue"": 674946.34, ""profit"": 364890.55}, {""year"": 2023, ""revenue"": 490035.22, ""profit"": 34978.3}]","[45, 84, 12]","[76, 66, 41, 27, 36, 95, 91]","[538, 886, 117]","[10847, 1810, 18330]",[701]
1232,Sims-Clark,"1812 Lopez Drive Apt. 439
Lake Arthurborough, DC 35363",Onlus,293-81-2735,"[{""year"": 2020, ""revenue"": 274375.26, ""profit"": 487574.79}, {""year"": 2015, ""revenue"": 629011.11, ""profit"": 148703.06}]","[59, 17, 70]","[14, 37, 28, 61, 34]",[229],"[18358, 2167, 12793, 19601, 14598]","[1320, 1923]"
1233,"Bartlett, Warren and Richards","4436 Phillip Spurs Suite 780
West Timothy, PA 95530",S.n.C.,235-13-6976,"[{""year"": 2016, ""revenue"": 161623.57, ""profit"": 139788.0}, {""year"": 2019, ""revenue"": 500707.01, ""profit"": 342614.36}, {""year"": 2019, ""revenue"": 605120.98, ""profit"": 403918.76}, {""year"": 2022, ""revenue"": 598974.36, ""profit"": 306800.89}]",[100],"[26, 22, 98, 15]","[324, 196, 101]",[17932],"[4481, 2317, 1499]"
1234,"Quinn, French and Jones","29091 Torres Stream
Anthonyton, TN 71220",S.r.l.,575-45-5189,"[{""year"": 2022, ""revenue"": 692204.19, ""profit"": 84192.71}, {""year"": 2020, ""revenue"": 137617.97, ""profit"": 276850.08}, {""year"": 2018, ""revenue"": 408640.55, ""profit"": 201808.4}]","[43, 1]","[22, 38, 42, 3, 14]","[757, 355]","[1914, 1752]","[95, 3241]"
1235,Harris-Dickson,"26702 Walsh Station
Natalietown, HI 99415",Onlus,072-85-1527,"[{""year"": 2022, ""revenue"": 856881.63, ""profit"": 494815.73}, {""year"": 2021, ""revenue"": 434300.17, ""profit"": 128295.46}, {""year"": 2015, ""revenue"": 334969.42, ""profit"": 376047.4}]",[62],"[17, 75, 30, 89, 88, 29, 67, 90]",[583],"[16454, 9672, 19737, 1450]","[4588, 2298]"
1236,Howard Ltd,"1669 Palmer Roads Suite 024
North Angelaberg, MA 16644",S.r.l. a socio unico,281-44-8573,"[{""year"": 2022, ""revenue"": 791752.84, ""profit"": 452940.4}, {""year"": 2023, ""revenue"": 247164.16, ""profit"": 331858.69}]","[88, 32]","[93, 41, 31, 24, 33, 67, 65]",[958],"[13631, 6288, 15492]",[4935]
1237,"Martinez, Murillo and Moore","281 Carolyn Walks Suite 848
Moranfurt, NM 97182",Cooperative,190-62-3772,"[{""year"": 2021, ""revenue"": 136237.3, ""profit"": 93503.72}, {""year"": 2015, ""revenue"": 399978.85, ""profit"": 488401.48}, {""year"": 2018, ""revenue"": 828186.68, ""profit"": 158119.28}, {""year"": 2023, ""revenue"": 854543.19, ""profit"": 282287.93}]","[44, 78, 97]","[83, 65, 61, 12, 85, 91, 41, 37, 98]","[632, 536, 349]",[1294],"[959, 4332]"
1238,"Brown, Houston and Woods","47394 Daniel Glen Suite 105
North Tammy, TX 24242",S.p.A.,401-47-8104,"[{""year"": 2019, ""revenue"": 113856.96, ""profit"": 334740.13}]",[45],"[84, 9, 76, 36, 52, 48, 51]","[489, 56]","[9269, 6761]","[2933, 2304, 2203]"
1239,Hood PLC,"302 Michael Corner
Lindatown, DC 78337",S.n.C.,415-65-9131,"[{""year"": 2017, ""revenue"": 958231.94, ""profit"": 382865.02}, {""year"": 2017, ""revenue"": 799425.25, ""profit"": 237299.98}]","[85, 54, 10]","[76, 63, 33]","[246, 215]",[18890],"[1940, 1394, 3282]"
1240,"Ramos, Moore and Austin","0714 Lori Union
Port Christopher, WY 03278",S.a.S.,122-84-1957,"[{""year"": 2020, ""revenue"": 619461.22, ""profit"": 278847.97}]",[92],"[21, 97, 12, 18, 38, 46, 89, 11]",[9],"[14752, 12617]","[740, 46]"
1241,Whitney Ltd,"7375 Thomas Throughway Apt. 832
Elizabethtown, TN 76658",S.r.l. a socio unico,780-66-0093,"[{""year"": 2017, ""revenue"": 492810.24, ""profit"": 345253.26}, {""year"": 2016, ""revenue"": 266546.58, ""profit"": 183352.15}, {""year"": 2016, ""revenue"": 692861.69, ""profit"": 427890.27}, {""year"": 2018, ""revenue"": 651525.28, ""profit"": 415558.63}]","[58, 90]","[76, 42]","[108, 822]",[6538],"[4044, 4627]"
1242,Bell Group,"047 Jennifer Shoals Apt. 293
South Morgan, IL 66296",S.r.l. a socio unico,797-16-2376,"[{""year"": 2018, ""revenue"": 426303.51, ""profit"": 417141.82}, {""year"": 2022, ""revenue"": 988714.81, ""profit"": 378817.07}]","[31, 8, 68]","[17, 79, 20, 55, 100, 94, 24, 77, 75, 50]","[13, 944]",[14370],"[2653, 270]"
1243,Morris and Sons,"0221 Huff Stravenue Suite 408
Lake Jessica, WY 35050",S.r.l. a socio unico,635-82-8361,"[{""year"": 2022, ""revenue"": 626004.99, ""profit"": 332580.5}, {""year"": 2021, ""revenue"": 999054.58, ""profit"": 464482.14}]","[48, 41]","[83, 51, 3]",[51],[11716],[3507]
1244,Wilson-Lawrence,"804 John Prairie
Jenkinshaven, MN 89000",S.n.C.,626-74-5349,"[{""year"": 2020, ""revenue"": 766630.7, ""profit"": 306324.33}, {""year"": 2020, ""revenue"": 272521.79, ""profit"": 424626.61}, {""year"": 2019, ""revenue"": 412338.08, ""profit"": 12076.22}, {""year"": 2017, ""revenue"": 605011.29, ""profit"": 361840.43}]","[41, 68]","[8, 22]","[824, 54]","[18891, 19634, 17252]",[4862]
1245,"Smith, Santiago and Collins","48614 Ebony Station Suite 683
Gloverton, MP 11202",S.n.C.,401-93-9931,"[{""year"": 2017, ""revenue"": 462334.92, ""profit"": 374333.21}, {""year"": 2016, ""revenue"": 369164.46, ""profit"": 386497.53}, {""year"": 2022, ""revenue"": 93675.06, ""profit"": 242880.76}, {""year"": 2015, ""revenue"": 843359.51, ""profit"": 252876.04}, {""year"": 2019, ""revenue"": 752503.0, ""profit"": 398359.22}]","[73, 6, 100]","[8, 67, 33, 74, 54, 14, 40, 38]","[872, 30, 497]","[11362, 7725, 14194, 17472]","[3568, 4178]"
1246,Reynolds-Snyder,"USNS Ellis
FPO AA 11987",S.n.C.,583-51-8886,"[{""year"": 2016, ""revenue"": 165524.55, ""profit"": 351045.12}, {""year"": 2022, ""revenue"": 514514.76, ""profit"": 400697.71}, {""year"": 2023, ""revenue"": 444556.16, ""profit"": 390260.72}, {""year"": 2021, ""revenue"": 823169.24, ""profit"": 331932.85}, {""year"": 2018, ""revenue"": 230658.02, ""profit"": 374493.57}]","[55, 22, 67]","[48, 41, 67, 7, 61, 82, 54, 43]",[201],"[14205, 13024, 4622, 12013]",[1891]
1247,Fleming-Nicholson,"8115 Williamson Squares
South Nicholasmouth, DE 65346",Cooperative,354-57-1100,"[{""year"": 2016, ""revenue"": 218788.13, ""profit"": 305948.7}, {""year"": 2021, ""revenue"": 686834.69, ""profit"": 186266.85}]","[39, 54]","[92, 10, 69, 6, 31, 99, 23, 35, 70, 45]","[722, 513]","[9402, 19431, 16741, 9300, 2073]",[4069]
1248,Watson Ltd,"527 David Street Apt. 633
East Michelle, CT 08466",S.a.S.,575-48-8328,"[{""year"": 2016, ""revenue"": 450526.53, ""profit"": 459500.6}, {""year"": 2017, ""revenue"": 127467.22, ""profit"": 348491.31}, {""year"": 2017, ""revenue"": 56047.58, ""profit"": 268257.04}, {""year"": 2020, ""revenue"": 548709.86, ""profit"": 380920.19}, {""year"": 2020, ""revenue"": 748545.84, ""profit"": 116697.85}]",[51],"[48, 9]","[361, 39, 648]","[11825, 1837]",[1236]
1249,Peters-Cox,"2308 Laura Inlet
North Sandraberg, NJ 70676",S.r.l. a socio unico,707-92-6038,"[{""year"": 2022, ""revenue"": 286267.02, ""profit"": 137810.46}]","[71, 80]","[14, 48, 34, 74, 43]","[428, 968]","[9025, 15027]","[3037, 4274]"
1250,Harris LLC,"4903 Amy Village
North Jennifer, NY 96510",S.p.A.,471-73-9027,"[{""year"": 2022, ""revenue"": 215031.65, ""profit"": 166964.95}]","[32, 3]","[99, 15, 12, 36, 81, 76]","[85, 598, 231]","[16613, 5614, 11782]",[1192]
1251,Phillips Ltd,"138 Warren Overpass Suite 153
New Josephchester, ID 15996",S.r.l.,477-08-2156,"[{""year"": 2015, ""revenue"": 369202.91, ""profit"": 496537.72}, {""year"": 2015, ""revenue"": 273582.14, ""profit"": 223789.06}, {""year"": 2016, ""revenue"": 197760.88, ""profit"": 458404.62}]","[53, 72]","[86, 42, 29, 99, 64, 3]",[798],"[6546, 16267, 12085]",[330]
1252,Weiss Group,"556 Maria Trail
Adamland, KS 46385",S.p.A.,237-76-9062,"[{""year"": 2022, ""revenue"": 521513.04, ""profit"": 29993.26}, {""year"": 2021, ""revenue"": 28598.07, ""profit"": 77481.46}, {""year"": 2019, ""revenue"": 199166.18, ""profit"": 136884.85}]","[53, 1, 82]","[73, 88, 24, 93, 16, 6, 48, 74]","[599, 646, 265]",[16607],"[3127, 454, 2423]"
1253,Richardson PLC,"0044 Juan Mission Suite 351
Lake Robertfort, FM 29836",S.r.l. a socio unico,214-11-7205,"[{""year"": 2018, ""revenue"": 358669.65, ""profit"": 89046.07}, {""year"": 2020, ""revenue"": 48229.05, ""profit"": 169933.85}]","[27, 97]","[26, 15, 87, 100, 53]","[762, 180, 882]","[5892, 88, 14652, 17090]",[4744]
1254,Collins-Winters,"89584 Jessica Island Suite 353
Barrettside, GU 05097",Onlus,812-27-3027,"[{""year"": 2023, ""revenue"": 924803.87, ""profit"": 349343.76}, {""year"": 2015, ""revenue"": 17178.81, ""profit"": 355213.22}, {""year"": 2019, ""revenue"": 830870.15, ""profit"": 232479.25}, {""year"": 2016, ""revenue"": 554106.76, ""profit"": 112536.83}, {""year"": 2015, ""revenue"": 648804.85, ""profit"": 127751.47}]",[94],"[61, 40, 100, 35, 8, 7, 64]","[386, 832, 549]","[15151, 10184, 4542, 1028]",[3736]
1255,Norman Inc,"20178 Ryan Estate Suite 619
Amandachester, ME 57397",S.n.C.,406-40-9106,"[{""year"": 2018, ""revenue"": 625195.31, ""profit"": 99530.55}]","[49, 61]","[32, 7, 15, 81, 99, 22, 58, 46]","[581, 446]","[9816, 10432, 12315, 8138]","[3830, 4850, 3497]"
1256,"Campos, Hamilton and Rodriguez","561 Jason Square Apt. 663
North Emily, NC 87351",S.r.l. a socio unico,068-07-4405,"[{""year"": 2020, ""revenue"": 631494.88, ""profit"": 161570.35}, {""year"": 2023, ""revenue"": 712327.47, ""profit"": 413611.74}, {""year"": 2015, ""revenue"": 126606.79, ""profit"": 402405.66}, {""year"": 2022, ""revenue"": 929467.57, ""profit"": 111754.06}, {""year"": 2021, ""revenue"": 687993.49, ""profit"": 371466.48}]","[99, 80, 57]","[50, 95, 82, 87, 47]",[341],"[1999, 6549, 18215, 2189, 17814]",[4120]
1257,Cohen Inc,"624 Patricia Square Suite 466
Jenkinsborough, MT 94165",S.a.S.,336-29-7895,"[{""year"": 2022, ""revenue"": 499493.15, ""profit"": 58955.99}]",[60],"[10, 3, 93, 80, 75, 66, 69, 2]","[924, 26]","[2458, 2555, 13491, 11444]","[1909, 2667]"
1258,Brown-Delacruz,"34170 Savage Manors Suite 462
Petersenshire, PA 26358",S.r.l. a socio unico,103-39-2142,"[{""year"": 2017, ""revenue"": 15289.02, ""profit"": 74401.24}, {""year"": 2015, ""revenue"": 105092.09, ""profit"": 105700.26}, {""year"": 2022, ""revenue"": 969545.7, ""profit"": 489327.19}]","[39, 52]","[2, 76, 98, 55]",[925],"[6535, 2021, 8120, 13073]",[538]
1259,"Gates, Graham and Anderson","67576 Brandon Knoll
Salazarville, DC 50273",Cooperative,764-98-1093,"[{""year"": 2015, ""revenue"": 860689.39, ""profit"": 370615.22}, {""year"": 2017, ""revenue"": 969829.08, ""profit"": 342798.72}]","[53, 82]","[85, 52, 7, 24, 58, 77]",[465],"[15733, 16492, 19111, 9416]","[2191, 4412, 4104]"
1260,"Harper, Williams and Berg","3880 Brown Landing
Grayfurt, ID 60514",S.r.l. a socio unico,393-27-1362,"[{""year"": 2017, ""revenue"": 307848.08, ""profit"": 496258.23}]","[72, 36]","[12, 49]","[323, 894]","[12828, 12445]","[2231, 830]"
1261,"Baker, Mccoy and Pacheco","9417 Erin Square
New Alexandraborough, IA 81144",S.r.l. a socio unico,813-05-0174,"[{""year"": 2016, ""revenue"": 658004.59, ""profit"": 234284.65}]",[95],"[13, 11, 50, 69, 81, 35]","[383, 749]",[1023],"[3802, 1928]"
1262,Patel-Little,"USNV Lopez
FPO AA 77046",S.r.l. a socio unico,247-56-1494,"[{""year"": 2018, ""revenue"": 636964.15, ""profit"": 186187.98}, {""year"": 2017, ""revenue"": 744071.74, ""profit"": 402259.14}, {""year"": 2019, ""revenue"": 34076.22, ""profit"": 67071.85}]",[59],"[76, 83, 66, 94, 16, 99]","[157, 717]",[4495],"[2328, 2571]"
1263,Wong-Larson,"6540 James Mill Suite 579
Kristinebury, KS 79388",Onlus,578-20-6730,"[{""year"": 2021, ""revenue"": 188462.18, ""profit"": 315430.59}, {""year"": 2021, ""revenue"": 738706.77, ""profit"": 182299.9}, {""year"": 2018, ""revenue"": 549290.98, ""profit"": 317422.58}, {""year"": 2017, ""revenue"": 359503.05, ""profit"": 260777.0}, {""year"": 2015, ""revenue"": 706349.87, ""profit"": 138737.02}]","[50, 30]",[58],"[185, 918]","[7860, 6987, 14090, 13643, 16562]","[4763, 1874, 2649]"
1264,"Thomas, Fleming and Meadows","636 Christopher Views Apt. 243
Port Kylebury, NY 51183",S.r.l.,336-07-2998,"[{""year"": 2023, ""revenue"": 578689.32, ""profit"": 93278.77}, {""year"": 2018, ""revenue"": 516832.39, ""profit"": 35375.26}, {""year"": 2016, ""revenue"": 316277.92, ""profit"": 113551.67}, {""year"": 2021, ""revenue"": 670258.82, ""profit"": 283738.88}]",[81],"[3, 10, 58]",[555],"[6988, 1939, 17044]","[1186, 731, 182]"
1265,"Lee, Robbins and Torres","USNS Todd
FPO AP 77532",S.r.l.,628-61-0929,"[{""year"": 2018, ""revenue"": 845226.59, ""profit"": 379066.04}, {""year"": 2016, ""revenue"": 697870.8, ""profit"": 490207.95}, {""year"": 2020, ""revenue"": 661072.95, ""profit"": 240615.94}, {""year"": 2017, ""revenue"": 708085.93, ""profit"": 22449.72}, {""year"": 2015, ""revenue"": 103656.68, ""profit"": 277499.82}]","[84, 95, 10]","[39, 44, 47, 38, 80, 49, 87]","[126, 448, 150]","[19313, 17309]",[3874]
1266,Jimenez PLC,"1111 Obrien Ways
Coreymouth, MD 83704",S.r.l.,445-35-3381,"[{""year"": 2016, ""revenue"": 126614.93, ""profit"": 246468.43}]",[22],"[85, 83, 50]",[259],"[9381, 19759, 19731]","[1135, 2502]"
1267,Walters Ltd,"394 Jason Coves Apt. 306
West Ryanborough, GU 75724",S.r.l. a socio unico,640-02-6365,"[{""year"": 2022, ""revenue"": 954458.65, ""profit"": 328120.08}, {""year"": 2017, ""revenue"": 222360.92, ""profit"": 182086.43}, {""year"": 2015, ""revenue"": 459331.92, ""profit"": 71850.69}, {""year"": 2020, ""revenue"": 370732.09, ""profit"": 5776.42}]","[61, 19]","[25, 20, 48, 31, 77, 61, 2]","[476, 783]","[16466, 9038, 9660, 11996, 5792]","[560, 1730]"
1268,"Frazier, Williams and Daniel","204 Bell Spurs Apt. 328
Lake Patrick, AZ 72533",S.r.l. a socio unico,064-37-8814,"[{""year"": 2016, ""revenue"": 369019.6, ""profit"": 480604.0}, {""year"": 2017, ""revenue"": 15704.87, ""profit"": 86166.8}, {""year"": 2015, ""revenue"": 538304.55, ""profit"": 222559.15}]","[81, 90]","[72, 87, 88, 13, 93, 21]","[77, 619, 76]","[6108, 9829, 5096, 17155, 16307]","[1872, 1641, 1966]"
1269,Hill PLC,"8293 Mckenzie Wells Suite 616
Garciamouth, VI 29777",S.p.A.,667-15-9749,"[{""year"": 2016, ""revenue"": 694397.83, ""profit"": 3135.27}, {""year"": 2019, ""revenue"": 207447.9, ""profit"": 126324.59}]",[21],"[16, 5, 18, 96, 23, 61]",[957],"[6539, 17280, 15751, 700, 17484]","[1617, 3600]"
1270,"Parker, Neal and Mcmahon","652 Jose Inlet
Brittneyville, WA 93400",S.n.C.,561-88-3151,"[{""year"": 2020, ""revenue"": 789480.13, ""profit"": 354529.12}]","[50, 99, 79]","[99, 78, 5, 60, 29, 12, 66, 23, 57]","[175, 611]","[3643, 6742, 7033]","[2252, 2392, 653]"
1271,Stevenson-Garcia,"4652 Hudson Parks Apt. 982
Baileyville, TX 73962",S.r.l.,135-24-4945,"[{""year"": 2015, ""revenue"": 75832.33, ""profit"": 269806.54}, {""year"": 2023, ""revenue"": 192843.76, ""profit"": 405438.41}, {""year"": 2022, ""revenue"": 906356.35, ""profit"": 377801.94}, {""year"": 2018, ""revenue"": 849184.51, ""profit"": 13875.89}, {""year"": 2021, ""revenue"": 375246.11, ""profit"": 400009.83}]","[45, 39, 11]",[13],"[549, 763]","[15813, 7652, 3502, 553, 3867]","[1283, 3586]"
1272,Avery Group,"834 Rodgers Underpass Apt. 030
Michaelafurt, WY 59335",S.a.S.,020-26-9423,"[{""year"": 2019, ""revenue"": 568031.6, ""profit"": 320870.1}, {""year"": 2016, ""revenue"": 679817.16, ""profit"": 293428.58}, {""year"": 2015, ""revenue"": 510221.82, ""profit"": 290258.61}, {""year"": 2021, ""revenue"": 732758.04, ""profit"": 190427.25}, {""year"": 2015, ""revenue"": 454285.68, ""profit"": 439289.57}]","[50, 53, 78]","[64, 29, 37, 28, 89, 15, 39]","[470, 302]","[13484, 11981, 11316, 3125]",[4103]
1273,"Macdonald, Curry and Gonzalez","19343 Turner Ridge Suite 823
Carrollmouth, VT 22275",Onlus,693-63-3960,"[{""year"": 2018, ""revenue"": 528530.34, ""profit"": 370292.88}, {""year"": 2016, ""revenue"": 269966.72, ""profit"": 481393.27}, {""year"": 2016, ""revenue"": 230002.59, ""profit"": 294120.68}]",[68],"[24, 31, 50, 12]","[762, 421]","[19460, 10427, 11594, 3786, 11834]","[3851, 3430, 71]"
1274,Taylor Ltd,"41036 Taylor Crossing Suite 673
East Danielmouth, GA 32507",S.a.S.,739-36-9569,"[{""year"": 2021, ""revenue"": 739199.67, ""profit"": 132225.51}, {""year"": 2020, ""revenue"": 130728.96, ""profit"": 318082.16}, {""year"": 2015, ""revenue"": 284340.82, ""profit"": 49109.15}]","[73, 34]","[48, 45, 84, 54, 53, 13, 11, 87, 18, 44]",[497],"[17674, 17192, 6625]","[1338, 3612, 3155]"
1275,Murphy Group,"6844 Joshua Parkway
New Christina, DE 30483",S.p.A.,006-22-6331,"[{""year"": 2023, ""revenue"": 364909.94, ""profit"": 139425.64}, {""year"": 2016, ""revenue"": 893470.39, ""profit"": 150609.85}]","[51, 76]",[14],"[994, 180]",[8504],"[507, 2963, 2946]"
