id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
745,Lindsey-Mitchell,"6140 John Mission Suite 612
Shawbury, NM 01319",Onlus,315-65-1886,"[{""year"": 2019, ""revenue"": 764330.62, ""profit"": 23637.98}, {""year"": 2018, ""revenue"": 927647.52, ""profit"": 198526.64}, {""year"": 2016, ""revenue"": 712942.78, ""profit"": 135892.96}, {""year"": 2022, ""revenue"": 102738.04, ""profit"": 452242.61}, {""year"": 2023, ""revenue"": 466843.94, ""profit"": 145714.88}]","[18, 15, 71]","[69, 97, 21, 99, 3, 17, 50, 96, 36, 49]","[340, 49]","[12569, 10228, 2039, 19948]","[479, 2650]"
746,Moore-Stephens,"37368 Perez Trail
Howardshire, FL 80530",S.p.A.,298-72-9214,"[{""year"": 2022, ""revenue"": 713156.31, ""profit"": 236874.51}, {""year"": 2019, ""revenue"": 81931.35, ""profit"": 198545.82}, {""year"": 2019, ""revenue"": 80236.42, ""profit"": 172712.54}, {""year"": 2018, ""revenue"": 978147.7, ""profit"": 23720.18}]",[15],"[51, 1, 30, 85, 98, 63, 62]",[930],[5565],"[4881, 2117, 4656]"
747,Vargas-Ayers,"4506 Freeman Lane
North Billy, IN 20954",S.r.l.,354-41-0737,"[{""year"": 2018, ""revenue"": 516302.69, ""profit"": 476715.72}, {""year"": 2021, ""revenue"": 246909.02, ""profit"": 267094.27}, {""year"": 2017, ""revenue"": 343618.11, ""profit"": 81759.1}, {""year"": 2015, ""revenue"": 165895.35, ""profit"": 315328.49}]",[39],[5],"[869, 394]","[3378, 3400, 9633, 3333, 14385]","[3005, 3802, 2658]"
748,Cohen-Larson,"421 Perry Walk
Lake Shawn, AZ 44312",S.a.S.,561-83-6533,"[{""year"": 2019, ""revenue"": 404219.59, ""profit"": 344024.82}]",[72],[86],"[321, 769]",[18887],"[35, 3456, 3666]"
749,"Wright, Allen and Page","4991 Robert Hill Apt. 617
Russellstad, SD 17953",Cooperative,819-13-6174,"[{""year"": 2020, ""revenue"": 199299.09, ""profit"": 89193.4}, {""year"": 2016, ""revenue"": 665421.13, ""profit"": 487265.79}, {""year"": 2020, ""revenue"": 603495.21, ""profit"": 380082.4}, {""year"": 2015, ""revenue"": 85594.41, ""profit"": 6104.74}, {""year"": 2023, ""revenue"": 527687.4, ""profit"": 89790.45}]","[89, 35]","[15, 16, 65, 38, 6]",[95],"[7463, 1384, 9007]","[1380, 840, 4785]"
750,"Hall, Weeks and Baker","037 Brown Ferry
West Taylorberg, MN 20557",Cooperative,676-06-7412,"[{""year"": 2019, ""revenue"": 110803.34, ""profit"": 435801.03}, {""year"": 2021, ""revenue"": 889322.85, ""profit"": 446887.48}, {""year"": 2017, ""revenue"": 985664.12, ""profit"": 439968.23}, {""year"": 2020, ""revenue"": 217368.66, ""profit"": 169767.28}]","[24, 85, 51]","[27, 64, 66, 97, 73, 46, 77, 98]",[84],"[18644, 4802, 16085, 18866, 15569]","[4369, 281]"
751,"Olsen, Lambert and Holland","7849 Shields Junctions Suite 504
New Desireeland, WI 36458",S.r.l.,791-94-8985,"[{""year"": 2020, ""revenue"": 300508.91, ""profit"": 487462.38}, {""year"": 2021, ""revenue"": 703275.1, ""profit"": 363619.68}, {""year"": 2021, ""revenue"": 76813.35, ""profit"": 273837.31}, {""year"": 2015, ""revenue"": 889993.93, ""profit"": 61231.64}, {""year"": 2023, ""revenue"": 628113.48, ""profit"": 140031.75}]",[26],"[16, 24, 75, 52, 15, 86, 9, 53, 81, 21]","[900, 495]","[16217, 1550]",[1142]
752,"Robinson, Harper and Brown","PSC 3100, Box 3109
APO AE 89874",S.p.A.,771-51-1560,"[{""year"": 2020, ""revenue"": 512896.91, ""profit"": 6367.04}, {""year"": 2016, ""revenue"": 991358.09, ""profit"": 381959.29}, {""year"": 2021, ""revenue"": 824462.79, ""profit"": 318871.47}, {""year"": 2017, ""revenue"": 293063.44, ""profit"": 339685.11}, {""year"": 2015, ""revenue"": 491308.61, ""profit"": 120175.74}]",[4],"[94, 29, 16, 95, 45, 33, 31]",[235],"[15684, 18111]",[4150]
753,Lamb-Sampson,"0366 Charles Flats Suite 040
Juliechester, AR 60363",S.p.A.,247-56-5424,"[{""year"": 2017, ""revenue"": 399686.32, ""profit"": 120366.05}]","[94, 33]","[83, 63, 9, 45, 15, 96, 58, 17, 55]",[183],"[14759, 529, 8499, 9865, 8856]","[3457, 2985, 195]"
754,"Byrd, Leblanc and Soto","USCGC Johnson
FPO AP 93222",S.n.C.,292-49-7065,"[{""year"": 2018, ""revenue"": 429616.33, ""profit"": 269745.96}, {""year"": 2019, ""revenue"": 535632.3, ""profit"": 171531.19}]","[62, 78, 77]","[96, 65, 60, 76, 23]",[386],[17593],"[3884, 935, 1801]"
755,Weaver-Singh,"3289 Teresa Ways
Tylerbury, MN 69476",Cooperative,510-52-2595,"[{""year"": 2019, ""revenue"": 590029.48, ""profit"": 87684.75}, {""year"": 2017, ""revenue"": 419715.75, ""profit"": 310521.36}, {""year"": 2017, ""revenue"": 754450.22, ""profit"": 235242.19}, {""year"": 2020, ""revenue"": 468051.46, ""profit"": 324486.46}, {""year"": 2022, ""revenue"": 512878.08, ""profit"": 213915.08}]","[99, 63, 47]","[13, 8, 87, 94]",[241],"[11941, 16505, 8598, 11244]",[4686]
756,Daniel-Chavez,"392 Mendez Mission
New Michaelburgh, OH 96821",S.a.S.,469-30-7282,"[{""year"": 2023, ""revenue"": 148407.61, ""profit"": 36418.8}, {""year"": 2017, ""revenue"": 111609.56, ""profit"": 360907.41}]","[85, 60, 15]","[75, 56, 53, 25, 28, 40, 46]","[951, 865]","[4158, 1152, 17013, 18296, 13178]","[2419, 3191, 2682]"
757,"Freeman, Hill and Owens","6638 Julie Via
Port Michael, AL 27101",S.a.S.,600-35-6399,"[{""year"": 2023, ""revenue"": 942600.75, ""profit"": 63626.69}, {""year"": 2016, ""revenue"": 723364.61, ""profit"": 354308.06}, {""year"": 2021, ""revenue"": 831969.39, ""profit"": 47379.58}]","[52, 71, 40]","[42, 14, 66, 26, 67, 61, 47]",[829],"[11312, 10282]","[1246, 4820, 616]"
758,Wyatt and Sons,"05144 David Crescent Suite 267
Yvettetown, VA 85043",S.a.S.,536-34-3021,"[{""year"": 2020, ""revenue"": 175056.78, ""profit"": 132133.76}]",[10],"[4, 81, 43, 46, 90, 17]","[619, 326, 189]","[12730, 16078, 16010]",[2354]
759,Moore LLC,"95656 Cabrera Hollow Suite 381
East Ronald, WA 24234",Onlus,287-37-9253,"[{""year"": 2016, ""revenue"": 750318.83, ""profit"": 400396.19}, {""year"": 2017, ""revenue"": 697871.97, ""profit"": 318061.59}, {""year"": 2022, ""revenue"": 828249.81, ""profit"": 51660.36}, {""year"": 2021, ""revenue"": 201119.53, ""profit"": 80701.84}]",[71],"[25, 16, 74, 43, 28, 62, 29, 68, 82]","[655, 448, 809]","[13030, 6979]",[2005]
760,"Lara, Saunders and Adams","3390 Spencer Island
Andreahaven, SC 17695",S.r.l. a socio unico,628-20-9115,"[{""year"": 2023, ""revenue"": 413833.35, ""profit"": 94728.43}, {""year"": 2023, ""revenue"": 45799.01, ""profit"": 174106.87}, {""year"": 2022, ""revenue"": 626409.09, ""profit"": 179967.98}, {""year"": 2023, ""revenue"": 470773.06, ""profit"": 412642.03}, {""year"": 2020, ""revenue"": 183339.01, ""profit"": 391582.83}]","[48, 54, 71]","[2, 55, 60, 40, 59, 1, 85]",[93],[18354],"[1846, 2574, 1487]"
761,"Figueroa, Johnson and Reese","5819 Jennifer Course Suite 967
Michaelside, HI 63361",S.r.l.,005-64-2610,"[{""year"": 2017, ""revenue"": 784721.73, ""profit"": 222498.66}, {""year"": 2018, ""revenue"": 252755.93, ""profit"": 303825.74}]","[23, 30, 81]","[57, 68, 25]",[399],[6509],"[1730, 2150]"
762,Rodgers-Murphy,"912 Riddle Fords Apt. 786
Richardmouth, OR 64553",S.n.C.,197-73-0116,"[{""year"": 2015, ""revenue"": 279949.13, ""profit"": 301676.58}, {""year"": 2020, ""revenue"": 902912.49, ""profit"": 326624.98}, {""year"": 2017, ""revenue"": 803482.54, ""profit"": 56015.7}, {""year"": 2020, ""revenue"": 411865.62, ""profit"": 265576.18}, {""year"": 2017, ""revenue"": 112652.15, ""profit"": 165483.27}]","[43, 32]","[63, 8]",[993],"[6927, 19198, 877]",[1025]
763,Kline PLC,"5338 Michael Drive Apt. 642
Port Andrewchester, AK 57519",Onlus,133-83-6655,"[{""year"": 2020, ""revenue"": 914304.33, ""profit"": 276874.83}, {""year"": 2017, ""revenue"": 285057.4, ""profit"": 496200.66}, {""year"": 2015, ""revenue"": 550040.83, ""profit"": 61842.03}]",[77],"[98, 46, 69, 74, 43, 13, 10, 16]","[254, 784]","[335, 14649, 6401]","[4569, 1191, 4494]"
764,Weaver PLC,"8769 Paul Extensions
East Melissaburgh, KS 11136",S.p.A.,815-13-6312,"[{""year"": 2023, ""revenue"": 291176.97, ""profit"": 425541.59}, {""year"": 2020, ""revenue"": 261867.42, ""profit"": 261636.38}, {""year"": 2022, ""revenue"": 421927.64, ""profit"": 143985.27}, {""year"": 2019, ""revenue"": 338268.73, ""profit"": 272932.39}]","[14, 84, 50]","[58, 76, 23, 45, 53]",[521],"[17158, 2377, 15131, 9600, 12152]",[1090]
765,Wilson Group,"39258 Ann Neck
Cynthiachester, WI 17225",S.r.l.,760-92-7783,"[{""year"": 2020, ""revenue"": 850980.44, ""profit"": 77884.51}]",[38],"[41, 42, 98, 14, 56]",[734],"[13210, 12857, 2624]","[1784, 3094, 4605]"
766,Woodward Inc,"954 Smith Place
Zacharyfort, VI 42706",Onlus,358-71-4765,"[{""year"": 2023, ""revenue"": 140383.75, ""profit"": 361430.45}, {""year"": 2019, ""revenue"": 194389.67, ""profit"": 189435.84}, {""year"": 2018, ""revenue"": 786010.51, ""profit"": 307504.58}, {""year"": 2021, ""revenue"": 187125.5, ""profit"": 461867.1}, {""year"": 2016, ""revenue"": 264948.11, ""profit"": 366509.86}]","[79, 84, 72]","[28, 49, 40]","[921, 877]","[17717, 4570, 14116, 329, 13310]","[452, 4500, 1832]"
767,Diaz-Zavala,"795 Kara Via
Nancyview, OR 90924",Cooperative,564-17-5350,"[{""year"": 2016, ""revenue"": 752589.66, ""profit"": 265631.23}, {""year"": 2016, ""revenue"": 166954.09, ""profit"": 4541.42}, {""year"": 2023, ""revenue"": 559547.44, ""profit"": 444250.91}, {""year"": 2018, ""revenue"": 835380.68, ""profit"": 70374.18}]","[90, 53, 49]","[48, 92, 80, 65, 70, 17, 55, 32]","[167, 24, 20]","[17894, 161]","[378, 1892, 3585]"
768,Jenkins-Freeman,"Unit 4156 Box 8302
DPO AA 44167",S.n.C.,375-23-4258,"[{""year"": 2020, ""revenue"": 758096.93, ""profit"": 65390.7}, {""year"": 2015, ""revenue"": 334773.34, ""profit"": 441553.43}, {""year"": 2019, ""revenue"": 857881.24, ""profit"": 431995.77}]","[41, 60]","[31, 34, 9, 100, 91, 81, 67, 99]",[938],"[18465, 15683, 9215, 16039, 10322]","[354, 166]"
769,Thomas-Love,"823 Kim Ramp
Johnsonbury, DC 92802",Onlus,450-70-2667,"[{""year"": 2023, ""revenue"": 706364.91, ""profit"": 369386.1}, {""year"": 2016, ""revenue"": 805577.46, ""profit"": 443936.39}, {""year"": 2017, ""revenue"": 86551.25, ""profit"": 485468.11}]","[46, 47, 17]","[60, 1, 22]","[147, 346]","[3328, 7898]","[1533, 4538]"
770,"Short, Sparks and Harrell","432 Linda Forest
Port John, MO 62084",S.r.l. a socio unico,072-21-9084,"[{""year"": 2020, ""revenue"": 984439.55, ""profit"": 108326.03}, {""year"": 2019, ""revenue"": 332552.63, ""profit"": 484973.61}]",[71],"[4, 65, 23]","[155, 370, 302]","[860, 12614]",[2849]
771,"Ellis, Boyle and Holmes","51810 Jean Meadows Suite 912
Triciaport, AS 84669",S.r.l.,895-01-8652,"[{""year"": 2022, ""revenue"": 846701.68, ""profit"": 236932.39}, {""year"": 2021, ""revenue"": 70384.78, ""profit"": 283858.67}, {""year"": 2018, ""revenue"": 829429.8, ""profit"": 383435.82}, {""year"": 2022, ""revenue"": 825603.48, ""profit"": 395567.32}, {""year"": 2018, ""revenue"": 645846.18, ""profit"": 9601.64}]","[26, 64]","[69, 41, 96, 14, 36, 76, 68, 51]","[689, 718]","[3903, 19955, 16591, 14685]","[4089, 1650, 2343]"
772,Little Inc,"796 Kaylee Stream Suite 476
Richardtown, OH 58530",Onlus,519-48-9104,"[{""year"": 2021, ""revenue"": 955688.33, ""profit"": 40381.13}, {""year"": 2017, ""revenue"": 964838.48, ""profit"": 4449.57}, {""year"": 2023, ""revenue"": 730812.85, ""profit"": 101763.15}]","[83, 9, 99]","[53, 27]","[896, 385, 751]","[1410, 11812, 19419, 12822]",[802]
773,Ruiz Group,"5039 Damon Unions
Port Christopher, FM 80937",S.r.l.,688-22-1515,"[{""year"": 2022, ""revenue"": 11365.15, ""profit"": 488951.27}, {""year"": 2019, ""revenue"": 751508.52, ""profit"": 459001.9}, {""year"": 2016, ""revenue"": 163969.1, ""profit"": 391983.83}, {""year"": 2018, ""revenue"": 292170.66, ""profit"": 10028.49}, {""year"": 2016, ""revenue"": 180922.96, ""profit"": 186359.12}]",[25],[53],"[767, 689]","[8136, 16090, 4569, 18654]",[574]
774,"Baxter, Lopez and Bender","70350 Curry Islands Suite 231
Russostad, TN 40016",S.p.A.,684-52-3010,"[{""year"": 2018, ""revenue"": 646456.76, ""profit"": 369243.32}, {""year"": 2017, ""revenue"": 101058.64, ""profit"": 103068.15}, {""year"": 2022, ""revenue"": 707338.43, ""profit"": 131292.25}]","[7, 60, 97]","[56, 65, 39, 4, 58, 75, 90]","[964, 733]",[16456],"[4603, 782]"
775,Miller LLC,"USS Perry
FPO AA 67700",S.p.A.,774-93-3143,"[{""year"": 2015, ""revenue"": 803340.29, ""profit"": 404934.63}]","[36, 84, 94]","[3, 14, 68, 24, 29, 98, 89, 8, 41]","[198, 590, 67]",[2964],[533]
776,Davis PLC,"81288 Randy Circles
Dalemouth, WV 35291",S.r.l. a socio unico,361-49-3277,"[{""year"": 2018, ""revenue"": 741003.03, ""profit"": 117419.62}, {""year"": 2017, ""revenue"": 55263.42, ""profit"": 23174.92}, {""year"": 2016, ""revenue"": 938888.24, ""profit"": 270341.88}, {""year"": 2017, ""revenue"": 754770.8, ""profit"": 78981.91}]","[48, 28]","[76, 46, 13, 58, 32, 60, 100, 15]","[549, 664, 760]","[12876, 11296, 2549]",[2103]
777,Henderson-Nguyen,"14237 Stacy Vista
South Clinton, OH 98269",Cooperative,507-25-2087,"[{""year"": 2019, ""revenue"": 81468.19, ""profit"": 89938.88}]",[28],"[1, 47, 92, 40, 93, 38, 79, 87]",[519],"[18797, 14290, 9140]","[3557, 3687]"
778,"Garcia, Mathews and Holland","88076 Chad Gardens
New Steven, CT 95283",S.p.A.,323-46-9450,"[{""year"": 2022, ""revenue"": 441746.99, ""profit"": 190183.44}, {""year"": 2016, ""revenue"": 59124.12, ""profit"": 123641.05}]","[6, 27]","[94, 4, 20, 46, 11, 6]",[246],"[5050, 14289]",[4884]
779,"Martin, Ford and Watson","4098 Cassidy Freeway Apt. 858
West Jesseville, KS 78253",Onlus,005-27-6822,"[{""year"": 2017, ""revenue"": 718671.75, ""profit"": 313850.58}]",[44],"[75, 67, 27, 32, 66]","[916, 688, 998]","[9920, 15185, 3399, 2494]",[1587]
780,"Cherry, Stone and Lowery","86120 Harmon Neck Apt. 279
West Benjamin, WV 83880",S.r.l.,005-13-8033,"[{""year"": 2019, ""revenue"": 265484.48, ""profit"": 422691.9}, {""year"": 2023, ""revenue"": 373726.02, ""profit"": 463755.14}, {""year"": 2018, ""revenue"": 402756.37, ""profit"": 416853.02}]","[78, 69, 33]","[56, 48, 22, 10, 45, 46, 60, 16, 23, 28]",[461],[12695],"[2942, 4253, 2877]"
781,"Johnson, Smith and Barrett","975 Charles Crossing Suite 946
Danielberg, OK 59973",S.p.A.,804-46-2591,"[{""year"": 2022, ""revenue"": 602344.58, ""profit"": 421939.97}, {""year"": 2015, ""revenue"": 826943.02, ""profit"": 432738.43}]","[30, 59, 76]","[46, 13, 92, 39, 11, 49, 57]","[963, 159]","[19069, 12960, 14122]","[2485, 1793, 3609]"
782,"Bullock, Scott and Turner","650 Johnson Creek Apt. 681
Clarkfort, AK 40411",S.r.l. a socio unico,042-18-3266,"[{""year"": 2019, ""revenue"": 767983.96, ""profit"": 488347.82}, {""year"": 2019, ""revenue"": 293768.68, ""profit"": 140197.34}, {""year"": 2020, ""revenue"": 26271.48, ""profit"": 340652.74}, {""year"": 2023, ""revenue"": 450683.22, ""profit"": 429023.12}]","[64, 48, 62]","[65, 63, 76, 80, 31, 59]","[879, 633]","[4203, 7930, 13559, 8920, 9242]","[4654, 3420]"
783,Harmon-Hahn,"21448 Suzanne Plaza
South Jasmine, SC 81248",Cooperative,296-62-2808,"[{""year"": 2019, ""revenue"": 32042.5, ""profit"": 498827.45}, {""year"": 2020, ""revenue"": 230663.96, ""profit"": 307472.43}, {""year"": 2018, ""revenue"": 312486.79, ""profit"": 287493.34}]","[15, 29, 82]","[99, 78]",[632],"[18877, 15382, 6429, 18610, 12205]",[4741]
784,Mccullough Inc,"USS Reynolds
FPO AA 61254",S.r.l. a socio unico,731-46-7641,"[{""year"": 2023, ""revenue"": 783789.42, ""profit"": 403962.6}, {""year"": 2019, ""revenue"": 664596.55, ""profit"": 261683.15}]","[14, 27, 2]","[42, 52]",[513],"[17634, 78]",[1612]
785,Jones and Sons,"46226 Harris Shoal
Murraybury, TN 92969",S.n.C.,559-91-3172,"[{""year"": 2023, ""revenue"": 898816.33, ""profit"": 495931.72}, {""year"": 2019, ""revenue"": 63522.37, ""profit"": 364759.87}, {""year"": 2017, ""revenue"": 299313.81, ""profit"": 468572.5}, {""year"": 2017, ""revenue"": 265212.47, ""profit"": 411967.63}, {""year"": 2015, ""revenue"": 848230.63, ""profit"": 177907.23}]","[98, 51, 17]","[11, 10, 53, 52, 38]",[689],"[8719, 7093, 11259, 10160]",[3243]
786,Brewer Group,"074 Joseph Path Suite 622
Jamesfort, KS 13707",S.a.S.,251-28-5464,"[{""year"": 2021, ""revenue"": 263683.87, ""profit"": 93439.21}, {""year"": 2017, ""revenue"": 832903.61, ""profit"": 424983.13}, {""year"": 2016, ""revenue"": 311610.55, ""profit"": 137527.89}, {""year"": 2015, ""revenue"": 275324.44, ""profit"": 230454.7}]","[82, 59]","[7, 37, 52, 27]",[748],"[7793, 226, 17235, 13137, 13304]","[115, 2992]"
787,Jones-Greer,"464 Thomas Meadow Apt. 907
Brendaside, DE 49613",S.p.A.,815-87-3327,"[{""year"": 2019, ""revenue"": 494745.31, ""profit"": 339336.4}, {""year"": 2023, ""revenue"": 999876.81, ""profit"": 69622.59}, {""year"": 2017, ""revenue"": 566340.79, ""profit"": 30297.18}, {""year"": 2021, ""revenue"": 525440.21, ""profit"": 159178.03}, {""year"": 2019, ""revenue"": 56870.73, ""profit"": 369297.43}]",[22],"[41, 33, 27, 17]",[286],"[2499, 10269]",[1690]
788,Jackson-Walker,"509 Eric Lights Suite 735
West Brandon, LA 74788",Onlus,447-95-5098,"[{""year"": 2017, ""revenue"": 805503.56, ""profit"": 244954.26}, {""year"": 2022, ""revenue"": 913146.73, ""profit"": 68794.32}, {""year"": 2020, ""revenue"": 214983.53, ""profit"": 429126.01}, {""year"": 2023, ""revenue"": 13308.04, ""profit"": 471156.43}, {""year"": 2017, ""revenue"": 606390.59, ""profit"": 182741.47}]",[27],"[91, 56, 42, 31, 9, 32, 70]","[44, 147]","[19097, 1858]","[1394, 3368]"
789,Johnson Inc,"918 Bass Squares
North Deborah, OH 86155",S.r.l.,043-10-1967,"[{""year"": 2019, ""revenue"": 824870.54, ""profit"": 110213.53}, {""year"": 2018, ""revenue"": 911574.31, ""profit"": 187832.74}, {""year"": 2016, ""revenue"": 452454.68, ""profit"": 390759.49}]","[74, 2]","[33, 42, 48, 28]","[404, 252, 501]",[17803],"[1620, 3715]"
790,Obrien Ltd,"01528 Donald Green Suite 747
New Michael, DE 16842",S.r.l. a socio unico,485-38-7298,"[{""year"": 2023, ""revenue"": 887152.73, ""profit"": 203208.82}, {""year"": 2015, ""revenue"": 674669.37, ""profit"": 394649.27}]","[70, 63]","[87, 40, 8, 86, 18, 51, 21, 6]","[611, 153]","[8331, 4456, 11368]",[3036]
791,Andersen Ltd,"0587 Richardson Groves
Stephenbury, MA 87515",S.a.S.,095-83-7625,"[{""year"": 2016, ""revenue"": 584408.71, ""profit"": 330161.93}, {""year"": 2022, ""revenue"": 335087.54, ""profit"": 80952.56}]",[49],"[13, 45, 15, 21, 81, 87]","[549, 215]","[7604, 4713, 12601, 18825]","[4535, 4545, 79]"
792,"Patton, Cameron and Green","69720 Walters Ways Apt. 827
Stephanieburgh, OK 82110",S.p.A.,103-08-0271,"[{""year"": 2018, ""revenue"": 322705.78, ""profit"": 465668.09}, {""year"": 2015, ""revenue"": 895720.48, ""profit"": 385660.56}, {""year"": 2018, ""revenue"": 743852.33, ""profit"": 227507.86}, {""year"": 2020, ""revenue"": 428598.12, ""profit"": 267785.7}]","[14, 78, 99]","[28, 8, 39, 31, 29, 72, 43, 58]",[813],"[19911, 18457, 13279]","[2958, 608, 1239]"
793,Contreras-Campos,"2685 Angela Greens
Laurenmouth, SC 79925",Cooperative,053-83-1706,"[{""year"": 2017, ""revenue"": 489573.5, ""profit"": 215442.2}, {""year"": 2022, ""revenue"": 228241.41, ""profit"": 233093.19}]",[17],"[97, 94]","[198, 89]","[2312, 5582]",[2194]
794,"Bates, Serrano and Solis","71649 Anthony Lodge Suite 914
South Maryfort, GU 65040",Cooperative,770-85-0038,"[{""year"": 2018, ""revenue"": 218522.28, ""profit"": 207093.05}, {""year"": 2023, ""revenue"": 90240.66, ""profit"": 401612.67}, {""year"": 2020, ""revenue"": 111935.28, ""profit"": 335900.02}]","[78, 52, 37]","[13, 17, 60, 84]","[650, 843, 313]","[11730, 4296, 2703, 4664]",[376]
795,"Watson, Lopez and Brewer","USS Leblanc
FPO AE 54836",S.n.C.,879-43-2444,"[{""year"": 2022, ""revenue"": 631323.32, ""profit"": 478055.8}, {""year"": 2015, ""revenue"": 519043.38, ""profit"": 268266.91}]",[80],"[60, 26, 93, 3, 51, 1]",[800],"[13305, 19523, 16368, 1957, 6999]",[1849]
796,Evans-Knox,"06887 Nathan Drive
East Cynthia, MT 99061",S.r.l. a socio unico,726-31-0440,"[{""year"": 2018, ""revenue"": 461279.25, ""profit"": 27232.23}, {""year"": 2017, ""revenue"": 811858.65, ""profit"": 333443.27}]","[89, 23]","[46, 76, 50, 4, 87, 74, 17, 64]",[2],"[16094, 11648, 6248, 1276, 17627]","[4520, 3173, 761]"
797,Mclean-Elliott,"9462 Thompson Rapid Suite 860
Acevedohaven, NE 45302",Onlus,170-54-4275,"[{""year"": 2015, ""revenue"": 68986.98, ""profit"": 407298.0}, {""year"": 2016, ""revenue"": 388498.02, ""profit"": 362012.32}, {""year"": 2019, ""revenue"": 929772.88, ""profit"": 135773.13}, {""year"": 2015, ""revenue"": 669707.84, ""profit"": 372612.98}]",[19],"[35, 24, 79, 4, 56, 76, 25, 87, 7]","[906, 977, 21]","[14586, 5306, 19530]","[3821, 3057]"
798,"Perez, Landry and Yoder","433 Denise Unions Apt. 703
Melissaport, DC 94462",S.n.C.,727-54-9077,"[{""year"": 2021, ""revenue"": 660770.83, ""profit"": 374320.41}]","[44, 65]","[11, 74, 29, 60, 59, 53, 41, 72, 61, 8]","[766, 605]","[7107, 13607]","[51, 4436]"
799,Williamson Ltd,"47265 Mark Mills
East Jeremy, SD 86903",S.n.C.,819-28-3690,"[{""year"": 2021, ""revenue"": 533230.19, ""profit"": 374963.28}]",[9],"[98, 75, 29, 82, 96, 13, 6, 56, 38]",[481],"[10369, 531, 18802, 9640, 15854]",[4031]
800,"Harding, Walker and Erickson","52653 Ross Isle Suite 371
Beardview, IN 92843",S.r.l.,268-57-4899,"[{""year"": 2021, ""revenue"": 836077.68, ""profit"": 274294.63}, {""year"": 2022, ""revenue"": 866879.28, ""profit"": 292852.41}]","[60, 95, 2]","[15, 53, 91, 6, 40, 73, 82, 88, 45, 58]",[39],"[2184, 408, 191, 1379]","[3838, 2914]"
801,Chapman-Figueroa,"186 Cynthia Falls
Cooperside, PA 17426",S.r.l. a socio unico,250-33-9669,"[{""year"": 2015, ""revenue"": 114064.52, ""profit"": 392706.27}, {""year"": 2022, ""revenue"": 923733.4, ""profit"": 3019.8}, {""year"": 2023, ""revenue"": 939320.47, ""profit"": 345917.78}]",[66],"[24, 33, 28, 40, 36, 19, 45, 25, 5, 89]",[878],[14221],"[2224, 246, 4505]"
802,Garrison and Sons,"198 Rios Coves Suite 700
Andrewfort, RI 06223",S.r.l. a socio unico,705-23-8940,"[{""year"": 2017, ""revenue"": 393121.1, ""profit"": 493635.0}, {""year"": 2020, ""revenue"": 160952.15, ""profit"": 401602.74}, {""year"": 2017, ""revenue"": 414370.69, ""profit"": 256481.96}, {""year"": 2023, ""revenue"": 610185.22, ""profit"": 475313.71}, {""year"": 2022, ""revenue"": 418395.78, ""profit"": 128283.93}]","[99, 29, 94]","[84, 12, 8, 32, 41, 54, 17, 58, 76]","[561, 455]",[2091],"[4964, 911]"
803,Hall-Jackson,"5533 Mitchell Corner Suite 587
Karenview, ME 70256",S.n.C.,451-85-5713,"[{""year"": 2016, ""revenue"": 870370.39, ""profit"": 344753.63}, {""year"": 2021, ""revenue"": 555532.26, ""profit"": 161635.73}, {""year"": 2023, ""revenue"": 725403.81, ""profit"": 444705.43}]","[8, 51, 78]","[79, 49]",[323],"[68, 5490, 8621, 14215]",[4471]
804,"Thompson, Knight and Zamora","308 Jennifer Flats
Diazstad, GA 01744",S.a.S.,798-55-6941,"[{""year"": 2020, ""revenue"": 996913.02, ""profit"": 367505.27}, {""year"": 2022, ""revenue"": 583443.8, ""profit"": 266463.59}, {""year"": 2015, ""revenue"": 614321.2, ""profit"": 344657.15}, {""year"": 2023, ""revenue"": 528369.84, ""profit"": 116003.69}]","[86, 9, 10]",[4],"[610, 190, 79]",[3510],"[3189, 970]"
805,"Ramirez, Munoz and Castro","0627 Anna Club Suite 887
Nicholsonside, TN 74321",S.a.S.,558-98-6691,"[{""year"": 2015, ""revenue"": 881514.76, ""profit"": 222448.65}]","[78, 99]","[28, 62, 19, 80, 76, 73, 25, 52, 63, 60]",[427],[10935],"[2442, 2575, 3237]"
806,Ford LLC,"474 Alvarado Circle
South Kimberly, ND 13882",S.p.A.,617-45-4816,"[{""year"": 2017, ""revenue"": 528896.19, ""profit"": 379677.52}, {""year"": 2016, ""revenue"": 532660.92, ""profit"": 403789.5}, {""year"": 2015, ""revenue"": 708033.63, ""profit"": 19679.53}]",[1],"[22, 35]","[742, 260]","[3143, 6921]","[4403, 1884, 4902]"
807,Cooper-Miller,"USNS Stephens
FPO AE 73555",S.a.S.,170-80-2480,"[{""year"": 2022, ""revenue"": 57573.5, ""profit"": 122214.16}, {""year"": 2022, ""revenue"": 343033.95, ""profit"": 173186.02}]",[23],"[32, 53, 74]",[254],"[4667, 5519, 3140, 10530]",[580]
808,Tran Inc,"24941 Paul Brooks Apt. 784
East Taylorchester, AL 78538",S.r.l. a socio unico,468-40-2493,"[{""year"": 2016, ""revenue"": 117270.19, ""profit"": 64497.09}, {""year"": 2021, ""revenue"": 753534.18, ""profit"": 97194.33}, {""year"": 2022, ""revenue"": 243536.03, ""profit"": 473096.43}]",[45],"[17, 20, 1, 27, 31, 55, 68, 80, 85]","[160, 148, 458]",[18443],[1233]
